year,beef,lamb,pork,chicken
1974,63,25,10,12
1975,67,22,10,13
1976,69,18,10,14
1977,67,18,11,15
1978,57,18,10,17
1979,50,20,15,19
1980,49,20,16,18
1981,49,19,15,17
1982,46,20,15,18
1983,42,22,16,17
1984,42,23,16,20
1985,41,24,17,21
1986,39,22,17,21
1987,40,23,18,22
1988,41,22,18,24
1989,40,24,18,25
1990,39,23,18,22
1991,37,21,19,24
1992,35,20,19,24
1993,36,19,20,26
1994,36,18,20,25
1995,34,17,19,26
1996,39,16,19,26
1997,37,17,19,28
1998,36,17,20,29
1999,37,18,20,31
2000,34,17,18,31
2001,33,15,20,33
2002,34,14,21,34
2003,35,13,23,34
2004,33,13,24,36
2005,33,13,23,37
2006,34,14,26,38
2007,32,13,25,36
2008,29,11,24,37
2009,33,11,26,37
2010,31,9,25,44
2011,29,9,26,44
2012,31,9,26,44
2013,30,9,25,45
2014,27,9,27,46
2015,25,9,28,49
2016,25,8,28,49
2017,24,8,27,47
