year,beef,lamb,pork,chicken,alltotal,redtotal
1974,63,25,10,12,110,98
1975,67,22,10,13,112,99
1976,69,18,10,14,111,97
1977,67,18,11,15,111,96
1978,57,18,10,17,102,85
1979,50,20,15,19,104,85
1980,49,20,16,18,103,85
1981,49,19,15,17,100,83
1982,46,20,15,18,99,81
1983,42,22,16,17,97,80
1984,42,23,16,20,101,81
1985,41,24,17,21,103,82
1986,39,22,17,21,99,78
1987,40,23,18,22,103,81
1988,41,22,18,24,105,81
1989,40,24,18,25,107,82
1990,39,23,18,22,102,80
1991,37,21,19,24,101,77
1992,35,20,19,24,98,74
1993,36,19,20,26,101,75
1994,36,18,20,25,99,74
1995,34,17,19,26,96,70
1996,39,16,19,26,100,74
1997,37,17,19,28,101,73
1998,36,17,20,29,102,73
1999,37,18,20,31,106,75
2000,34,17,18,31,100,69
2001,33,15,20,33,101,68
2002,34,14,21,34,103,69
2003,35,13,23,34,105,71
2004,33,13,24,36,106,70
2005,33,13,23,37,106,69
2006,34,14,26,38,112,74
2007,32,13,25,36,106,70
2008,29,11,24,37,101,64
2009,33,11,26,37,107,70
2010,31,9,25,44,109,65
2011,29,9,26,44,108,64
2012,31,9,26,44,110,66
2013,30,9,25,45,109,64
2014,27,9,27,46,109,63
2015,25,9,28,49,111,62
2016,25,8,28,49,110,61
2017,24,8,27,47,106,59
